"","revenue","cost.price","material.expenditures","labor.expenses","labor.costs","social.taxes","depreciation","other.expenditures","selling.expenses","management.expenses","full.cost.price","Income","other.i.e","net.profit","assets","capital.assets","fixed.assets","intangible.assets","current.assets","stock","raw.materials","unfinished.production","receivables","accounts.payable","cash","mobile.working.capital","short.term.investments","VAT.purchased","short.term.receivables","working.capital","charter.capital","short.term.liabilities","long.term.liabilities","borrowed.capital","revenue.of.the.future.periods","future.expenses","Dso","DSp","DSv","dDS","tax.on.profits","VAT","Social.tax","sector"
"11",-0.559574869296891,-0.546623530683326,-0.539822367130045,-0.569299409058555,-0.572830411329136,-0.518560719002798,-0.576459671562423,-0.36871461340584,-0.598450521447963,-0.600425032128994,-0.567476932328283,-0.563747909252437,-0.538364767569373,-0.310962220962465,-0.497430931554372,-0.593256685412234,-0.596787821449464,-0.589286698555167,-0.0586239931891076,-0.564382385551932,-0.484160917053559,-0.523951118985199,-0.250622461716522,-0.479183792248273,0.127829208362274,-0.578294762148674,1.79212670162326,-0.606382237507704,-0.0563672691975916,0.172591635416507,-0.483819697625537,-0.553345954480338,NA,-0.515524859702342,-0.55772613031308,-0.69316146398132,-0.117938084245493,-0.564638662691769,-0.560248323152456,-0.573329983731537,-0.240451972418731,-0.546557804132012,-0.558028029357323,1.46600873214505
"12",-0.507909605667902,-0.571576528846011,-0.54992235320977,-0.578123167862871,-0.551280729735946,-0.545362091159178,-0.569100221624082,-0.424787345489458,-0.598450521447963,-0.600425032128994,-0.589775747228911,-0.542413826494474,-0.557000208433381,-0.142836317474462,-0.529628314720994,-0.592131208481897,-0.597247424898354,-0.589978535373836,-0.188899887187596,-0.602155711185371,-0.486173890969508,-0.508093940013858,0.0261721919158034,-0.488349422617479,-0.00810136219576834,-0.558743343467638,1.50776636965664,-0.597565457220988,-0.255603153768394,0.109226073996563,-0.465856738618537,-0.544452918041858,NA,-0.513577764626219,-0.55772613031308,-0.69316146398132,-0.0750744297687429,-0.565283095004261,-0.560084130962109,-0.576766643088351,-0.269961300898681,-0.52547564416059,-0.518092731181731,1.46600873214505
"13",-0.535872645962679,-0.558547864143909,-0.555379342578379,-0.57567897791468,-0.567977963406395,-0.573752876200933,-0.56228369054028,-0.391423060389065,-0.598450521447963,-0.600425032128994,-0.573949616139796,-0.547037553077094,-0.53816107940668,-0.0991697695406358,-0.505339091480085,-0.592918356296431,-0.596766983644398,-0.587723862941931,-0.059941964929164,-0.566385531856342,-0.637277692557589,-0.503789892916507,-0.0521823537260927,-0.380720884665668,-0.0387418723893531,-0.536555280432476,1.67825335582534,-0.597247893968428,0.0577631906681476,0.286031432782431,-0.533126646367573,-0.49850891316879,NA,-0.518638779099353,-0.55772613031308,-0.69316146398132,-0.130488418984723,-0.56938491880688,-0.579728926759604,-0.573584787440249,-0.258999516198267,-0.529264935129496,-0.526468910616438,1.46600873214505
"14",-0.55335591409937,-0.561748810109117,-0.564615820112368,-0.556792492631335,-0.566168638002051,-0.559621942074413,-0.579011493429537,-0.427752187039431,-0.598450521447963,-0.600425032128994,-0.571248626551545,-0.568041069365084,-0.547398585011171,-0.362081396001608,-0.530572234502454,-0.592108500611158,-0.595507266918012,-0.587026782304569,-0.173212413640068,-0.572558639382469,-0.58002866652368,-0.508180364156474,-0.257534894296108,-0.402970026780706,-0.223771593709691,-0.502067864591263,2.32806267435097,-0.599999712219502,-0.0163500207459644,0.281655369427345,-0.507845776521442,-0.494792225383669,NA,-0.543560005212245,-0.55772613031308,-0.69316146398132,-0.123719206039788,-0.566671002929027,-0.570270323011463,-0.585192697196332,-0.327847036316343,-0.526622918025836,-0.508193688229169,1.46600873214505
"15",-0.565248505124911,-0.545638580137984,-0.563130043084797,-0.544458411906632,-0.575895675645347,-0.524923750094722,-0.578133506157553,-0.357460209329399,-0.598450521447963,-0.600425032128994,-0.559702804707794,-0.552158815142169,-0.567609323303673,-0.126961956098067,-0.509376785247084,-0.593833369617472,-0.595097720230901,-0.588784730312108,-0.225088660208321,-0.606248144654852,-0.569220184739769,-0.527787098497357,0.0797070830767736,-0.476909680371917,0.150885172611405,-0.552177377984034,1.15186823201701,-0.594455656983147,-0.0787737991226053,0.206068431115034,-0.522050705547991,-0.55478965760491,NA,-0.522834656917469,-0.55772613031308,-0.69316146398132,-0.0213120960013193,-0.564298445574513,-0.551739587728092,-0.573499211970518,-0.210364524213064,-0.522087560522014,-0.548935285549651,1.46600873214505
"16",-0.548863666680585,-0.554868922833749,-0.551786589202057,-0.555222694983463,-0.569578875296394,-0.552060221202176,-0.583111131913226,-0.374642640149135,-0.598450521447963,-0.600425032128994,-0.577634423372832,-0.553746375356687,-0.553689624663166,-0.0640984343138402,-0.51400131015742,-0.595279782928018,-0.596353156748707,-0.588373704888731,-0.0745429523435375,-0.538642216328279,-0.565513340775224,-0.536555766421148,-0.0391936971136312,-0.419635133850246,-0.201592418888102,-0.517745882076028,1.64661934371817,-0.595676186930989,-0.230105491396878,0.467583434171953,-0.543836059028836,-0.489756663493558,NA,-0.543777856844918,-0.55772613031308,-0.69316146398132,0.0264134047410742,-0.565055856956002,-0.555755963734121,-0.566609243993498,-0.157497676729121,-0.541724796273289,-0.538281386689463,1.46600873214505
"17",-0.544215952711274,-0.548088871196854,-0.545770686471282,-0.561328657328158,-0.562304543181074,-0.563464450645039,-0.576065629245931,-0.440605475421533,-0.598450521447963,-0.600425032128994,-0.56739258908579,-0.569586409404501,-0.550519178103152,-0.345510887949738,-0.524553683398967,-0.591641693390964,-0.597370851396265,-0.589670514992574,0.000328460877623786,-0.564812132232819,-0.509057374203301,-0.489344404107836,-0.0567734065566441,-0.37794329315969,-0.243943697158728,-0.583666154627599,1.1640432078728,-0.600760394461176,0.0723347875997803,0.264070358628755,-0.521904569266659,-0.55986287847816,NA,-0.528508705699742,-0.55772613031308,-0.69316146398132,-0.086649469830134,-0.569009905294544,-0.572838566131577,-0.569278941422586,-0.215535847292838,-0.554231151730244,-0.554555512583648,1.46600873214505
"18",-0.536957405382781,-0.560545709994587,-0.542680600254844,-0.566122665309144,-0.562606960990549,-0.527786060418815,-0.55187438923724,-0.352571057245556,-0.598450521447963,-0.600425032128994,-0.572354960445598,-0.562318160274578,-0.554877438020511,-0.0889189110643716,-0.530999868209904,-0.593994744560703,-0.598187625817043,-0.590239071582117,-0.10045893024781,-0.596303377842789,-0.53594160883756,-0.514487150610211,-0.17273441350271,-0.444027928691386,0.062317014392646,-0.539094676421249,2.06995597653482,-0.598797281762386,-0.198872598202056,0.584160230502997,-0.496244016805285,-0.504671967919073,NA,-0.54698497819471,-0.55772613031308,-0.69316146398132,-0.206994245421843,-0.557004939316304,-0.564497219062722,-0.565226139639767,-0.142255989419525,-0.519850797039845,-0.552821065520845,1.46600873214505
"19",-0.581853194371215,-0.559106138386564,-0.541392047216997,-0.574089061524195,-0.560004139487241,-0.553375022790164,-0.551633783697868,-0.391084379344593,-0.598450521447963,-0.600425032128994,-0.58241576277355,-0.557321921593285,-0.554594053910645,-0.174508075045573,-0.529708081125023,-0.592365371996358,-0.596633077453541,-0.588468791319806,-0.264297974576762,-0.579120069366572,-0.523609104760744,-0.533566893906884,-0.196234165696459,-0.502936585332903,0.0427526366476618,-0.574719568500721,1.31674067698652,-0.603797031214589,-0.326673137042802,-0.0596581137194798,-0.529688698972163,-0.56045760339998,NA,-0.532274856882979,-0.55772613031308,-0.69316146398132,-0.110232721793103,-0.562115719445348,-0.555681350683706,-0.573205746504308,-0.325826678881843,-0.543281816198802,-0.469604138530312,1.46600873214505
"20",-0.556247592016393,-0.54215324326858,-0.530729497364093,-0.56692064398858,-0.566542447204178,-0.53877912590634,-0.564209904812796,-0.362554306767227,-0.598450521447963,-0.600425032128994,-0.57150553013857,-0.554693089179408,-0.559346294512734,-0.0621289722441344,-0.489465228204157,-0.594347729597097,-0.597554350058583,-0.587407853302378,-0.155892055120966,-0.527971535777236,-0.492560161545096,-0.503682145405092,-0.102107281262605,-0.409854469380806,0.280184664230931,-0.585319060523265,2.02352013113278,-0.60310543956294,0.00591533844585225,-0.0567712971302527,-0.494745512549311,-0.492083064656659,NA,-0.527387910028425,-0.55772613031308,-0.69316146398132,-0.117510008244593,-0.571841548044164,-0.555302537459166,-0.582416812402279,-0.257322393134769,-0.545701427311541,-0.557153079270767,1.46600873214505
