"","revenue","cost.price","material.expenditures","labor.expenses","labor.costs","social.taxes","depreciation","other.expenditures","selling.expenses","management.expenses","full.cost.price","Income","other.i.e","net.profit","assets","capital.assets","fixed.assets","intangible.assets","current.assets","stock","raw.materials","unfinished.production","receivables","accounts.payable","cash","mobile.working.capital","short.term.investments","VAT.purchased","short.term.receivables","working.capital","charter.capital","short.term.liabilities","long.term.liabilities","borrowed.capital","revenue.of.the.future.periods","future.expenses","Dso","DSp","DSv","dDS","tax.on.profits","VAT","Social.tax","sector"
"27","0.017","0.006","0.004","0.002","0.002","0.000","0.001","0.002","0.000","0.000","0.006","0.005","0.000","0.004","0.035","0.002","0.001","0.000","0.030","0.001","0.001","0.000","0.027","0.010","0.005","0.001","0.004","0.000","0.025","0.026","0.028","0.006","0.000","0.007","0.000","0.000","0.004","0.015","0.008","0.005","0.001","0.002","0.001","0.000"
"28","0.011","0.009","0.003","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.005","0.005","0.000","0.004","0.035","0.002","0.001","0.000","0.040","0.002","0.001","0.000","0.024","0.011","0.004","0.002","0.003","0.000","0.031","0.028","0.028","0.010","0.000","0.009","0.000","0.000","0.005","0.013","0.006","0.006","0.001","0.002","0.000","0.000"
"29","0.013","0.008","0.003","0.003","0.002","0.000","0.001","0.001","0.000","0.000","0.009","0.005","0.000","0.004","0.043","0.002","0.001","0.000","0.038","0.001","0.001","0.000","0.030","0.009","0.003","0.002","0.003","0.000","0.037","0.034","0.035","0.008","0.000","0.008","0.000","0.000","0.005","0.017","0.007","0.007","0.001","0.002","0.001","0.000"
"30","0.015","0.008","0.002","0.003","0.002","0.000","0.001","0.001","0.000","0.000","0.008","0.005","0.000","0.003","0.040","0.002","0.001","0.000","0.036","0.001","0.001","0.000","0.031","0.010","0.004","0.002","0.003","0.000","0.028","0.034","0.024","0.005","0.000","0.009","0.000","0.000","0.004","0.010","0.005","0.007","0.001","0.002","0.000","0.000"
"31","0.009","0.010","0.003","0.002","0.002","0.001","0.001","0.001","0.000","0.000","0.009","0.005","0.000","0.004","0.033","0.002","0.001","0.000","0.033","0.001","0.001","0.000","0.022","0.008","0.004","0.002","0.003","0.000","0.035","0.037","0.031","0.010","0.000","0.007","0.000","0.000","0.004","0.014","0.008","0.005","0.001","0.002","0.000","0.000"
"32","0.012","0.009","0.003","0.003","0.002","0.000","0.001","0.001","0.000","0.000","0.010","0.006","0.000","0.005","0.041","0.002","0.001","0.000","0.038","0.001","0.001","0.000","0.022","0.007","0.005","0.001","0.003","0.000","0.023","0.027","0.035","0.007","0.000","0.009","0.000","0.000","0.005","0.012","0.006","0.007","0.001","0.002","0.001","0.000"
"33","0.019","0.009","0.003","0.003","0.002","0.000","0.001","0.001","0.000","0.000","0.011","0.005","0.000","0.004","0.039","0.002","0.001","0.000","0.037","0.001","0.001","0.000","0.026","0.008","0.005","0.001","0.003","0.000","0.030","0.032","0.029","0.010","0.000","0.010","0.000","0.000","0.004","0.012","0.004","0.005","0.001","0.002","0.001","0.000"
"34","0.010","0.008","0.003","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.009","0.006","0.000","0.003","0.047","0.002","0.001","0.000","0.038","0.001","0.001","0.000","0.023","0.010","0.004","0.001","0.003","0.000","0.028","0.027","0.029","0.009","0.000","0.010","0.000","0.000","0.004","0.014","0.008","0.007","0.001","0.002","0.001","0.000"
"35","0.015","0.009","0.003","0.003","0.002","0.000","0.001","0.001","0.000","0.000","0.008","0.005","0.000","0.004","0.028","0.002","0.001","0.000","0.029","0.001","0.001","0.000","0.032","0.009","0.005","0.002","0.003","0.000","0.025","0.030","0.024","0.010","0.000","0.009","0.000","0.000","0.005","0.014","0.008","0.006","0.001","0.002","0.001","0.000"
"36","0.012","0.008","0.004","0.003","0.002","0.000","0.001","0.001","0.000","0.000","0.008","0.006","0.000","0.005","0.040","0.002","0.001","0.000","0.039","0.001","0.001","0.000","0.029","0.008","0.003","0.002","0.002","0.000","0.023","0.021","0.040","0.009","0.000","0.011","0.000","0.000","0.004","0.012","0.007","0.006","0.001","0.002","0.001","0.000"
